iter	MultiClass
0	2.177803487
1	2.161371138
2	2.138088024
3	2.10656568
4	2.086384643
5	2.064487047
6	2.055463321
7	2.038391653
8	2.017998798
9	2.008819673
10	1.981405617
11	1.961520404
12	1.938375676
13	1.924282833
14	1.9098199
15	1.904012618
16	1.885479327
17	1.876155471
18	1.856709449
19	1.846553143
20	1.838973551
21	1.825163469
22	1.818342239
23	1.812698481
24	1.799502773
25	1.784965237
26	1.778289837
27	1.763795305
28	1.752996887
29	1.734040378
30	1.723921849
31	1.716958031
32	1.708547737
33	1.699393929
34	1.687554022
35	1.676328295
36	1.659950756
37	1.651569918
38	1.640569876
39	1.634097153
40	1.620569975
41	1.613017083
42	1.602991137
43	1.598175303
44	1.590041249
45	1.584286827
46	1.580077379
47	1.574522032
48	1.570511759
49	1.561601319
50	1.549789494
51	1.545250058
52	1.538963528
53	1.532525964
54	1.525287788
55	1.518022329
56	1.510908929
57	1.50715687
58	1.503670132
59	1.498206727
60	1.493360691
61	1.485634757
62	1.47822632
63	1.470384125
64	1.460448151
65	1.454235603
66	1.451206463
67	1.44473559
68	1.439907636
69	1.435559892
70	1.434212181
71	1.432362307
72	1.426942096
73	1.415759771
74	1.410712811
75	1.40111861
76	1.394396675
77	1.387730107
78	1.379875631
79	1.373650305
80	1.366295184
81	1.358188051
82	1.350817941
83	1.34156413
84	1.337079207
85	1.329627013
86	1.324737728
87	1.316006055
88	1.305869179
89	1.2990089
90	1.292719609
91	1.289062891
92	1.283653279
93	1.279216525
94	1.271817688
95	1.263277273
96	1.260191659
97	1.253372418
98	1.250377181
99	1.246226127
100	1.240487727
101	1.233560706
102	1.230392385
103	1.224367774
104	1.221748088
105	1.218555664
106	1.212722179
107	1.206182739
108	1.203759613
109	1.198718835
110	1.19398574
111	1.189340738
112	1.185421328
113	1.18217401
114	1.174669691
115	1.168504815
116	1.167406793
117	1.165318709
118	1.160683133
119	1.15563519
120	1.148985435
121	1.138216847
122	1.133284362
123	1.128187358
124	1.121465855
125	1.112704546
126	1.109128214
127	1.104804362
128	1.098059915
129	1.093106412
130	1.089252035
131	1.085010397
132	1.080431272
133	1.077771793
134	1.072596987
135	1.068395601
136	1.064760232
137	1.059511803
138	1.052528674
139	1.047655186
140	1.042275085
141	1.038165651
142	1.031143652
143	1.026720394
144	1.021355273
145	1.018034083
146	1.012292933
147	1.006834991
148	1.002984608
149	0.9951129329
150	0.9894429007
151	0.9847371496
152	0.9811132589
153	0.9762666426
154	0.9685621217
155	0.9635774321
156	0.9594996653
157	0.9511520856
158	0.9464633777
159	0.9424990773
160	0.9381866613
161	0.9344941416
162	0.930127893
163	0.9233710439
164	0.9179209575
165	0.9128441836
166	0.9096474402
167	0.9066171375
168	0.9001749553
169	0.8946247164
170	0.8913954099
171	0.8883687139
172	0.8826367182
173	0.8771320667
174	0.8714363634
175	0.8686975125
176	0.8656759447
177	0.8607262883
178	0.8549599641
179	0.8518425945
180	0.8469877254
181	0.8421852594
182	0.8400019091
183	0.8367884792
184	0.8338562832
185	0.8296313355
186	0.8256638262
187	0.8234141686
188	0.8217493421
189	0.8180565667
190	0.8164450063
191	0.8135922717
192	0.8120736108
193	0.8079827586
194	0.8048980319
195	0.8019999582
196	0.7982501803
197	0.7951167687
198	0.7928377421
199	0.7912978779
200	0.7881861084
201	0.7833453311
202	0.7808426347
203	0.7792262939
204	0.7766094188
205	0.7754515469
206	0.7724456941
207	0.7678417479
208	0.7658878806
209	0.7630582857
210	0.7599258857
211	0.7584787961
212	0.7570762233
213	0.7540212877
214	0.7524980706
215	0.750212687
216	0.7480245756
217	0.7463291987
218	0.7448083993
219	0.7420891439
220	0.7395433882
221	0.7377221894
222	0.7350767954
223	0.7332416412
224	0.7311731159
225	0.7300042598
226	0.7276188309
227	0.725163938
228	0.7232356323
229	0.7210545155
230	0.7185977585
231	0.7158818174
232	0.7143525404
233	0.7121939358
234	0.7101093009
235	0.7086560487
236	0.7061567112
237	0.703628527
238	0.7019574656
239	0.699980216
240	0.6988257811
241	0.6977870193
242	0.6960427261
243	0.6946691961
244	0.6927186251
245	0.6896078677
246	0.6878580306
247	0.6864877069
248	0.684998227
249	0.6831248083
250	0.6805471353
251	0.6790374902
252	0.6779225007
253	0.6758785285
254	0.6740438557
255	0.6722235238
256	0.6707979674
257	0.6694440626
258	0.6670621156
259	0.666335536
260	0.6649864248
261	0.663145333
262	0.6619079071
263	0.6611090859
264	0.6589058966
265	0.6572123426
266	0.6565039517
267	0.6536565779
268	0.6520899511
269	0.6498576541
270	0.6486732609
271	0.6463545439
272	0.6448983846
273	0.6440915997
274	0.6418722935
275	0.6404782421
276	0.6388451989
277	0.6374442274
278	0.6356554496
279	0.6340485662
280	0.632970382
281	0.6321131029
282	0.6311329188
283	0.6298798545
284	0.6287223744
285	0.6264571495
286	0.6251734039
287	0.6233787783
288	0.6217846563
289	0.6208573407
290	0.6199498747
291	0.6188372301
292	0.6175017897
293	0.6165002349
294	0.6151733694
295	0.6128907061
296	0.6119842274
297	0.6094071303
298	0.6080500978
299	0.6066178932
