iter	Passed	Remaining
0	9	2931
1	17	2604
2	24	2384
3	30	2258
4	36	2177
5	43	2140
6	49	2088
7	56	2067
8	63	2047
9	64	1881
10	70	1862
11	77	1867
12	84	1856
13	90	1847
14	96	1832
15	102	1816
16	108	1799
17	114	1789
18	120	1789
19	127	1787
20	134	1792
21	141	1786
22	147	1777
23	153	1764
24	158	1748
25	164	1734
26	169	1715
27	174	1699
28	180	1686
29	186	1674
30	191	1660
31	196	1648
32	202	1636
33	207	1625
34	212	1612
35	218	1600
36	223	1589
37	228	1577
38	234	1568
39	239	1558
40	245	1549
41	250	1541
42	256	1532
43	262	1525
44	267	1516
45	273	1507
46	278	1499
47	283	1490
48	289	1481
49	294	1473
50	299	1463
51	305	1455
52	310	1447
53	315	1438
54	321	1430
55	326	1423
56	332	1415
57	337	1407
58	342	1398
59	347	1390
60	353	1384
61	358	1376
62	363	1368
63	366	1349
64	371	1343
65	376	1335
66	381	1328
67	387	1321
68	393	1317
69	399	1313
70	405	1306
71	407	1291
72	413	1284
73	418	1277
74	423	1269
75	428	1263
76	433	1256
77	439	1250
78	445	1244
79	450	1239
80	456	1234
81	462	1228
82	467	1222
83	472	1214
84	477	1208
85	484	1204
86	489	1199
87	495	1194
88	500	1187
89	505	1180
90	510	1173
91	516	1166
92	521	1159
93	526	1153
94	532	1148
95	537	1143
96	543	1136
97	548	1131
98	553	1124
99	558	1117
100	563	1111
101	568	1104
102	574	1097
103	578	1090
104	583	1084
105	588	1077
106	593	1071
107	598	1064
108	603	1058
109	608	1051
110	613	1045
111	619	1039
112	624	1033
113	629	1026
114	634	1020
115	639	1014
116	644	1007
117	649	1001
118	654	995
119	659	989
120	664	983
121	669	977
122	674	971
123	679	964
124	685	959
125	690	952
126	695	946
127	700	940
128	705	934
129	710	928
130	715	923
131	720	917
132	726	911
133	731	905
134	736	900
135	741	894
136	747	888
137	752	883
138	757	877
139	763	872
140	769	868
141	774	862
142	779	856
143	785	851
144	791	845
145	796	840
146	801	834
147	806	828
148	812	823
149	817	817
150	823	812
151	828	807
152	833	801
153	839	795
154	844	790
155	850	784
156	855	779
157	861	774
158	866	768
159	872	763
160	877	757
161	882	751
162	887	746
163	892	740
164	898	735
165	903	729
166	909	724
167	914	718
168	919	712
169	925	707
170	931	702
171	937	697
172	943	692
173	948	686
174	953	681
175	959	675
176	964	670
177	970	664
178	975	659
179	981	654
180	986	648
181	992	643
182	997	637
183	1003	632
184	1008	626
185	1013	621
186	1019	615
187	1024	610
188	1028	604
189	1033	598
190	1039	593
191	1044	587
192	1050	582
193	1056	577
194	1061	571
195	1067	566
196	1073	561
197	1079	555
198	1084	550
199	1089	544
200	1095	539
201	1100	533
202	1105	528
203	1111	522
204	1116	517
205	1121	511
206	1127	506
207	1132	500
208	1137	495
209	1143	489
210	1148	484
211	1154	479
212	1159	473
213	1164	468
214	1170	462
215	1176	457
216	1181	452
217	1187	446
218	1192	441
219	1198	435
220	1204	430
221	1210	425
222	1215	419
223	1220	414
224	1226	408
225	1231	403
226	1237	397
227	1243	392
228	1249	387
229	1255	382
230	1262	376
231	1268	371
232	1276	367
233	1284	362
234	1291	357
235	1299	352
236	1307	347
237	1314	342
238	1322	337
239	1330	332
240	1339	327
241	1346	322
242	1354	317
243	1361	312
244	1369	307
245	1376	302
246	1383	296
247	1391	291
248	1398	286
249	1405	281
250	1413	275
251	1421	270
252	1429	265
253	1437	260
254	1445	255
255	1453	249
256	1461	244
257	1469	239
258	1477	233
259	1484	228
260	1491	222
261	1499	217
262	1505	211
263	1512	206
264	1520	200
265	1528	195
266	1536	189
267	1543	184
268	1550	178
269	1556	172
270	1563	167
271	1572	161
272	1580	156
273	1588	150
274	1596	145
275	1604	139
276	1610	133
277	1617	127
278	1624	122
279	1631	116
280	1638	110
281	1645	105
282	1651	99
283	1659	93
284	1666	87
285	1672	81
286	1679	76
287	1686	70
288	1692	64
289	1699	58
290	1706	52
291	1714	46
292	1721	41
293	1729	35
294	1734	29
295	1741	23
296	1746	17
297	1752	11
298	1759	5
299	1764	0
