date,month,mins,reason_text,field_device,tag_source,source_file
2025-11-15,Nov-25,60,"Bar overtravelled, 2 bars formed instead of 3, end of the longer bar got stuck, cutting done",,reclassified_non_device,Nov_2025_Delay_Categorized.xlsx
2025-11-15,Nov-25,15,"Bar overtravelled, 1 bar stuck in roller table, cutting done",,reclassified_non_device,Nov_2025_Delay_Categorized.xlsx
2025-11-15,Nov-25,60,"Cooling Bed sequence break, manual operation and cooling bed full",,reclassified_non_device,Nov_2025_Delay_Categorized.xlsx
2025-11-16,Nov-25,25,BDM HMD cleaning,HMD,explicit_sensor_column,Nov_2025_Delay_Categorized.xlsx
2025-11-16,Nov-25,105,Blade change of saw #1 and saw#2 (Gib crane fault),,unresolved,Nov_2025_Delay_Categorized.xlsx
2025-11-16,Nov-25,65,Hood #6 communication fault,,unresolved,Nov_2025_Delay_Categorized.xlsx
2025-11-16,Nov-25,6,"Bundling area vertical chain roller table photocell 1,2 & 3 not working",PHOTOCELL,explicit_sensor_column,Nov_2025_Delay_Categorized.xlsx
2025-11-16,Nov-25,45,OD2 was continuously active after 1st pass (exit HMD Fault 1 billet rejected),HMD,explicit_sensor_column,Nov_2025_Delay_Categorized.xlsx
2025-11-16,Nov-25,10,Bundling area collecting chain full due to crane breakdown,,unresolved,Nov_2025_Delay_Categorized.xlsx
2025-11-16,Nov-25,35,Bundling area collecting chain full due to crane breakdown,,unresolved,Nov_2025_Delay_Categorized.xlsx
2025-11-16,Nov-25,5,Bundling area collecting chain full due to crane breakdown,,unresolved,Nov_2025_Delay_Categorized.xlsx
2025-11-16,Nov-25,15,Bundling area collecting chain full due to crane breakdown,,unresolved,Nov_2025_Delay_Categorized.xlsx
2025-11-16,Nov-25,5,#7 crane down position not reaching,,unresolved,Nov_2025_Delay_Categorized.xlsx
2025-11-16,Nov-25,20,Extraction trolley overtravelled,,reclassified_non_device,Nov_2025_Delay_Categorized.xlsx
2025-11-16,Nov-25,80,Kick off not working,LASER_/_KICK-OFF,explicit_sensor_column,Nov_2025_Delay_Categorized.xlsx
2025-11-17,Nov-25,20,Strapping m/c not working in auto,,unresolved,Nov_2025_Delay_Categorized.xlsx
2025-11-17,Nov-25,15,stand 4 & 7 motor overtemperature,,unresolved,Nov_2025_Delay_Categorized.xlsx
2025-11-18,Nov-25,20,1 billet rejected at BDM due to HMD Continous sensing,HMD,explicit_sensor_column,Nov_2025_Delay_Categorized.xlsx
2025-11-18,Nov-25,20,1 billet rejected at BDM due to HMD Continous sensing,HMD,explicit_sensor_column,Nov_2025_Delay_Categorized.xlsx
2025-11-18,Nov-25,45,1 billet rejected at BDM due to HMD Continous sensing,HMD,explicit_sensor_column,Nov_2025_Delay_Categorized.xlsx
2025-11-18,Nov-25,38,"One billet overtravelled to BDM after rolled from one pass only, rejected",ENCODER,explicit_sensor_column,Nov_2025_Delay_Categorized.xlsx
2025-11-18,Nov-25,10,Charging roller table drive tripped in over current,,reclassified_non_device,Nov_2025_Delay_Categorized.xlsx
2025-11-19,Nov-25,80,"shear #3 power fault, MCB tripped",,unresolved,Nov_2025_Delay_Categorized.xlsx
2025-11-19,Nov-25,42,Metal overtravelled to Stopper after getting rolled from one pass only in BFM. rejected,HMD_/_LVDT,explicit_sensor_column,Nov_2025_Delay_Categorized.xlsx
2025-11-19,Nov-25,15,Strapping Machine in Fault,,unresolved,Nov_2025_Delay_Categorized.xlsx
2025-11-19,Nov-25,100,Run out roller table overtravelled causing strapping machine fault,,reclassified_non_device,Nov_2025_Delay_Categorized.xlsx
2025-11-19,Nov-25,10,Strapping Machine in Fault,,unresolved,Nov_2025_Delay_Categorized.xlsx
2025-11-20,Nov-25,65,One metal rejected after BDM due to shear 1 lubrication oil flow low fault,,unresolved,Nov_2025_Delay_Categorized.xlsx
2025-11-20,Nov-25,9,Shear 1 lubrication oil flow low fault,,unresolved,Nov_2025_Delay_Categorized.xlsx
2025-11-20,Nov-25,12,Shear 1 lubrication oil flow low fault,,unresolved,Nov_2025_Delay_Categorized.xlsx
2025-11-17,Nov-25,30,Disapperaing stopper not able to lift for alignment,,unresolved,Nov_2025_Delay_Categorized.xlsx
2025-11-17,Nov-25,10,OD#1 flickering in 2nd pass at BDM,HMD,explicit_sensor_column,Nov_2025_Delay_Categorized.xlsx
2025-11-22,Nov-25,20,BDM exit side guide exit transducer fault,LVDT_/_TRANSDUCER,explicit_sensor_column,Nov_2025_Delay_Categorized.xlsx
2025-11-22,Nov-25,15,Horizontal chain fault in bundling,,unresolved,Nov_2025_Delay_Categorized.xlsx
2025-11-22,Nov-25,60,"Bundling area full, due to unavaliability of crane",,unresolved,Nov_2025_Delay_Categorized.xlsx
2025-11-22,Nov-25,235,2 Billet cobble at BDM due to side guide of exit side transduser fault,LVDT_/_TRANSDUCER,explicit_sensor_column,Nov_2025_Delay_Categorized.xlsx
2025-11-23,Nov-25,74,BDM exit side guide LVDT fault,LVDT,explicit_sensor_column,Nov_2025_Delay_Categorized.xlsx
2025-11-23,Nov-25,10,Apron roller table motor fault,,reclassified_non_device,Nov_2025_Delay_Categorized.xlsx
2025-11-24,Nov-25,25,"Bundling area full, Bundle shifting not done due to DSL crane 7 power cut",,unresolved,Nov_2025_Delay_Categorized.xlsx
2025-11-24,Nov-25,17,BDM HMD cleaning,HMD,explicit_sensor_column,Nov_2025_Delay_Categorized.xlsx
2025-11-24,Nov-25,22,Rolling stopped due to bundling area full,,unresolved,Nov_2025_Delay_Categorized.xlsx
2025-11-24,Nov-25,15,Rolling stopped due to bundling area full,,unresolved,Nov_2025_Delay_Categorized.xlsx
2025-11-24,Nov-25,25,"Crane 8 being used for inspection, shifting not being done",,unresolved,Nov_2025_Delay_Categorized.xlsx
2025-11-24,Nov-25,35,Cooling bed exit roller table not moving in auto,,reclassified_non_device,Nov_2025_Delay_Categorized.xlsx
2025-11-24,Nov-25,10,disk saw upper clamp not working issuse,,unresolved,Nov_2025_Delay_Categorized.xlsx
2025-11-24,Nov-25,10,disk saw 2 roller table photocell sensing problem,PHOTOCELL,explicit_sensor_column,Nov_2025_Delay_Categorized.xlsx
2025-11-25,Nov-25,235,disk saw 1 motor trips again & again due to vibration in mandrel (cold shears ready for metal cutting com and balde change),,unresolved,Nov_2025_Delay_Categorized.xlsx
2025-11-25,Nov-25,20,Cooling bed Extraction trolley synchronisation not ok,,unresolved,Nov_2025_Delay_Categorized.xlsx
2025-11-25,Nov-25,10,Cooling bed cut area disappearing stopper not moving up for synchronisation,,unresolved,Nov_2025_Delay_Categorized.xlsx
2025-11-25,Nov-25,25,0.75 Bar got chopped & 1 billet rejected after BDM due to emergency active in gate no #12 of cooling bed,,unresolved,Nov_2025_Delay_Categorized.xlsx
2025-11-25,Nov-25,33,"Bar is not aligning on bundling roller table instead it is aligning just before disapperaing stopper and showing waiting position, Commulative delay of 33 min",,reclassified_non_device,Nov_2025_Delay_Categorized.xlsx
2025-11-22,Nov-25,50,Section c running in mannual,,unresolved,Nov_2025_Delay_Categorized.xlsx
2025-11-22,Nov-25,5,photocell of cold shear showing high,PHOTOCELL,explicit_sensor_column,Nov_2025_Delay_Categorized.xlsx
2025-11-22,Nov-25,55,billet over travelling in bdm due to unjammming pressure low,,reclassified_non_device,Nov_2025_Delay_Categorized.xlsx
2025-11-22,Nov-25,60,"billet over travelling in bdm due to unjamming pressure low, 1 cobble",,reclassified_non_device,Nov_2025_Delay_Categorized.xlsx
2025-11-22,Nov-25,20,"billet over travelling in bdm due to unjamming pressure low, 1 cobble",,reclassified_non_device,Nov_2025_Delay_Categorized.xlsx
2025-11-26,Nov-25,140,Delay continues from previous shift billet over travelling in bdm due to unjamming pressure low,,reclassified_non_device,Nov_2025_Delay_Categorized.xlsx
2025-11-26,Nov-25,8,OD1 (HMD ) cleaning inBDM,HMD,explicit_sensor_column,Nov_2025_Delay_Categorized.xlsx
2025-11-26,Nov-25,25,One billet rejected at BDM,HMD_/_LVDT,explicit_sensor_column,Nov_2025_Delay_Categorized.xlsx
2025-11-27,Nov-25,34,Layer forming area in cb not in auto so 0.5 billet chopped,,unresolved,Nov_2025_Delay_Categorized.xlsx
2025-11-27,Nov-25,15,HMD cleaning in BDM,HMD,explicit_sensor_column,Nov_2025_Delay_Categorized.xlsx
2025-11-27,Nov-25,4,HMD OD1 Flickering,HMD,explicit_sensor_column,Nov_2025_Delay_Categorized.xlsx
2025-11-27,Nov-25,30,"kocks 415 V blower supply not ok,DC bus 1 warning",,unresolved,Nov_2025_Delay_Categorized.xlsx
2025-11-27,Nov-25,30,GCS#17 unlock during rolling chopping and cobble removal(2 metal cobble),,unresolved,Nov_2025_Delay_Categorized.xlsx
2025-11-29,Nov-25,15,Strapping machine fault,,unresolved,Nov_2025_Delay_Categorized.xlsx
2025-11-30,Nov-25,6,Slow rolling due to kocks cover got open during rolling,,unresolved,Nov_2025_Delay_Categorized.xlsx
2025-11-30,Nov-25,22,Elec working on kocks cover,,unresolved,Nov_2025_Delay_Categorized.xlsx
2025-11-30,Nov-25,23,BDM entry roller table 2 tripped,,reclassified_non_device,Nov_2025_Delay_Categorized.xlsx
2025-11-30,Nov-25,25,One billet overtravelled in BDM,HMD_/_LVDT,explicit_sensor_column,Nov_2025_Delay_Categorized.xlsx
2025-12-01,Nov-25,42,Charging crane #5 tripped,,unresolved,Nov_2025_Delay_Categorized.xlsx
2025-12-01,Nov-25,5,Lifting chain proxy was loose,PROXIMITY_SWITCH,explicit_sensor_column,Nov_2025_Delay_Categorized.xlsx
2025-12-01,Nov-25,27,Weighing proxy was loose,PROXIMITY_SWITCH,explicit_sensor_column,Nov_2025_Delay_Categorized.xlsx
2025-12-01,Nov-25,35,Billet rejected in Bdm due to stand #4 roller table fault,,reclassified_non_device,Nov_2025_Delay_Categorized.xlsx
2025-12-01,Nov-25,41,Mill entry HMD flickered due to scale (1 billet rejected),HMD,explicit_sensor_column,Nov_2025_Delay_Categorized.xlsx
2025-12-02,Nov-25,18,Bundling area full due to crane # 7 tripped,,unresolved,Nov_2025_Delay_Categorized.xlsx
2025-12-02,Nov-25,23,OD1 flickered,HMD,explicit_sensor_column,Nov_2025_Delay_Categorized.xlsx
2025-12-02,Nov-25,20,05 cycle gap in furnace due to elec working on billet deposite device,,unresolved,Nov_2025_Delay_Categorized.xlsx
2025-12-02,Nov-25,142,Emergency active in cooling bed,,unresolved,Nov_2025_Delay_Categorized.xlsx
2025-12-02,Nov-25,12,Stand#7 high temperature alarm,,unresolved,Nov_2025_Delay_Categorized.xlsx
2025-12-03,Nov-25,10,DRT tripped,,reclassified_non_device,Nov_2025_Delay_Categorized.xlsx
2025-12-03,Nov-25,25,Bundling dissappearing stopper not coming up,,unresolved,Nov_2025_Delay_Categorized.xlsx
2025-12-03,Nov-25,40,Bundling dissappearing stopper not coming up,,unresolved,Nov_2025_Delay_Categorized.xlsx
2026-02-01,Feb-26,45,Fce Zone 7 tripped,,unresolved,Combi_Mill_Delay_Categorized_Feb.xlsx
2026-02-01,Feb-26,22,"Metal stuck at stopper, one metal cobble at BDM",LVDT,explicit_sensor_column,Combi_Mill_Delay_Categorized_Feb.xlsx
2026-02-01,Feb-26,16,1 metal cobble at BDM due to overtravelled,HMD,explicit_sensor_column,Combi_Mill_Delay_Categorized_Feb.xlsx
2026-02-01,Feb-26,5,"Electrical work at pellet trolley , proxy found loose",PROXIMITY_SWITCH,explicit_sensor_column,Combi_Mill_Delay_Categorized_Feb.xlsx
2026-02-01,Feb-26,5,Furnace zone 6 tripped,,unresolved,Combi_Mill_Delay_Categorized_Feb.xlsx
2026-02-01,Feb-26,3,Pallet not moving forward,PROXIMITY_SWITCH,explicit_sensor_column,Combi_Mill_Delay_Categorized_Feb.xlsx
2026-02-02,Feb-26,210,Descalar DC link fault,,unresolved,Combi_Mill_Delay_Categorized_Feb.xlsx
2026-02-02,Feb-26,108,Descalar DC link fault,,unresolved,Combi_Mill_Delay_Categorized_Feb.xlsx
2026-02-02,Feb-26,80,1 metal cobble and one rejected due to water box 3 out of position,,unresolved,Combi_Mill_Delay_Categorized_Feb.xlsx
2026-02-02,Feb-26,69,"One metal autochopped, Cobble in TMB, Proximity loose, one rejected in BDM",PROXIMITY_SWITCH,explicit_sensor_column,Combi_Mill_Delay_Categorized_Feb.xlsx
2026-02-02,Feb-26,28,"One metal autochopped, Cobble in TMB, Proximity loose, one rejected in BDM",PROXIMITY_SWITCH,explicit_sensor_column,Combi_Mill_Delay_Categorized_Feb.xlsx
2026-02-02,Feb-26,23,TMB snap shear not open,,unresolved,Combi_Mill_Delay_Categorized_Feb.xlsx
2026-02-02,Feb-26,8,Std 11 motor overtemperature,,unresolved,Combi_Mill_Delay_Categorized_Feb.xlsx
2026-02-05,Feb-26,16,OD#1 cleaning,HMD,explicit_sensor_column,Combi_Mill_Delay_Categorized_Feb.xlsx
