,precision,recall,f1-score,support
ENCODER,0.41935483870967744,0.35135135135135137,0.38235294117647056,37.0
FLOW_SWITCH,0.8181818181818182,0.8181818181818182,0.8181818181818182,11.0
HMD,0.8181818181818182,0.7758620689655172,0.7964601769911505,58.0
LASER,0.6666666666666666,0.8571428571428571,0.75,7.0
LVDT,0.7837837837837838,0.6744186046511628,0.725,43.0
PHOTOCELL,0.743801652892562,0.8910891089108911,0.8108108108108109,101.0
PRESSURE_SWITCH,0.9473684210526315,0.8181818181818182,0.8780487804878049,22.0
PROXIMITY,0.7,0.5714285714285714,0.6292134831460674,49.0
PROXIMITY_SWITCH,0.45454545454545453,0.8333333333333334,0.5882352941176471,6.0
accuracy,0.7275449101796407,0.7275449101796407,0.7275449101796407,0.7275449101796407
macro avg,0.7057649393349347,0.7323321702385912,0.7087003672124188,334.0
weighted avg,0.7285430802058449,0.7275449101796407,0.7225646305104878,334.0
