Feature,Importance,Type
tfidf_pressure,0.042341693943876574,text (TF-IDF)
tfidf_kick,0.03529145050142688,text (TF-IDF)
tfidf_loose,0.031955780503978085,text (TF-IDF)
tfidf_laser,0.03158655566711173,text (TF-IDF)
encoder_coupling,0.02757695505702356,domain/engineered
tfidf_water,0.023532233333080195,text (TF-IDF)
tfidf_hmd,0.022594311455702253,text (TF-IDF)
tfidf_flow,0.021537655703998595,text (TF-IDF)
tfidf_photocell,0.021383289430894025,text (TF-IDF)
tfidf_low,0.021142808991879106,text (TF-IDF)
tfidf_proxy,0.019694213337750663,text (TF-IDF)
tfidf_bdm,0.019535804050701485,text (TF-IDF)
tfidf_saw,0.018724258850018233,text (TF-IDF)
tfidf_std,0.015274458145681647,text (TF-IDF)
tfidf_minimum,0.015102971506185739,text (TF-IDF)
involves_bdm,0.01495071915018008,domain/engineered
tfidf_wrong,0.014321172570130093,text (TF-IDF)
encoder_stand,0.013105108046207395,domain/engineered
tfidf_value,0.012421671315441845,text (TF-IDF)
tfidf_feedback,0.012388667056976778,text (TF-IDF)
tfidf_stand,0.012086383553046235,text (TF-IDF)
tfidf_working,0.010462278296302387,text (TF-IDF)
encoder_feedback,0.010238061950980345,domain/engineered
tfidf_issue,0.009986799398860597,text (TF-IDF)
tfidf_cleaning,0.009909355150582106,text (TF-IDF)
tfidf_billet,0.009726220327188888,text (TF-IDF)
tfidf_exit,0.009461342403379373,text (TF-IDF)
tfidf_metal,0.009159483533974265,text (TF-IDF)
tfidf_rejected,0.009144818454452001,text (TF-IDF)
tfidf_clamp,0.008887177872014805,text (TF-IDF)
tfidf_pallet,0.008850265493903215,text (TF-IDF)
tfidf_tmb,0.008710324134680357,text (TF-IDF)
tfidf_fault,0.008637223051202821,text (TF-IDF)
tfidf_od,0.008499839425455178,text (TF-IDF)
lvdt_stuck,0.008220468230121764,domain/engineered
tfidf_water flow,0.008139363620576856,text (TF-IDF)
tfidf_forward,0.008113704130041562,text (TF-IDF)
tfidf_moving,0.007719677572358048,text (TF-IDF)
tfidf_flow minimum,0.007468728617178212,text (TF-IDF)
tfidf_feedback missing,0.007371326899072017,text (TF-IDF)
tfidf_fce,0.007331422839987969,text (TF-IDF)
photocell_contamination,0.007169920521526239,domain/engineered
tfidf_detection,0.007073012649747689,text (TF-IDF)
photocell_flicker,0.007038931363567972,domain/engineered
tfidf_tripped,0.006940261595840902,text (TF-IDF)
tfidf_shear,0.006855830220197034,text (TF-IDF)
lvdt_transducer,0.0068499783842992604,domain/engineered
tfidf_bdm hmd,0.00680852105444844,text (TF-IDF)
tfidf_oil,0.0065953637988713475,text (TF-IDF)
tfidf_rejected bdm,0.006502191664780427,text (TF-IDF)
tfidf_lifting,0.006450469462559345,text (TF-IDF)
tfidf_cobble,0.005899875706664408,text (TF-IDF)
tfidf_cooling,0.005440720271221094,text (TF-IDF)
tfidf_missing,0.005379260515252722,text (TF-IDF)
encoder_missing,0.005233279032327802,domain/engineered
hmd_cleaning,0.005184845502060084,domain/engineered
tfidf_cycle,0.005179767450420749,text (TF-IDF)
tfidf_electrical,0.0051343083579929874,text (TF-IDF)
tfidf_open,0.005085326195732576,text (TF-IDF)
is_rejected,0.005005234696563724,domain/engineered
tfidf_pass,0.004977398546672974,text (TF-IDF)
tfidf_detection fault,0.004955019232583898,text (TF-IDF)
tfidf_dia,0.004861096778932791,text (TF-IDF)
tfidf_gear box,0.004756197671144543,text (TF-IDF)
tfidf_oil flow,0.004753290574996424,text (TF-IDF)
tfidf_electrical work,0.004743992675142427,text (TF-IDF)
tfidf_luberication,0.0046169260808635185,text (TF-IDF)
tfidf_encoder,0.004544398287441747,text (TF-IDF)
tfidf_box,0.004489254614302874,text (TF-IDF)
tfidf_dia detection,0.004470323912252961,text (TF-IDF)
tfidf_timeout,0.004445867485647154,text (TF-IDF)
tfidf_trolley,0.004387493662891468,text (TF-IDF)
tfidf_hmd cleaning,0.0043262158678635315,text (TF-IDF)
tfidf_stopper,0.004252686215881602,text (TF-IDF)
tfidf_gear,0.004140880678834378,text (TF-IDF)
tfidf_disc,0.004104030416855126,text (TF-IDF)
is_cobble,0.00406432434252235,domain/engineered
tfidf_bdm exit,0.003950307452046367,text (TF-IDF)
tfidf_area,0.0038119674056479266,text (TF-IDF)
tfidf_cycle gap,0.0037859987391196757,text (TF-IDF)
tfidf_section,0.0037649522262224898,text (TF-IDF)
tfidf_sensing,0.0037409186738405174,text (TF-IDF)
tfidf_arm,0.003721653319615779,text (TF-IDF)
is_hot_out,0.0036889120181253328,domain/engineered
tfidf_kick arm,0.003583423104424106,text (TF-IDF)
tfidf_saw disc,0.0035739744996671663,text (TF-IDF)
tfidf_disc dia,0.0035437359458814132,text (TF-IDF)
tfidf_work,0.003520896421948804,text (TF-IDF)
tfidf_furnace,0.0035131467959636353,text (TF-IDF)
tfidf_extraction,0.003507765691534004,text (TF-IDF)
tfidf_roll,0.0034602443632726736,text (TF-IDF)
tfidf_auto,0.0034121445982027653,text (TF-IDF)
tfidf_roller,0.0033246299796495698,text (TF-IDF)
tfidf_billet rejected,0.003284902840656123,text (TF-IDF)
tfidf_rolled,0.003262357554611949,text (TF-IDF)
tfidf_bar,0.0032201153294951637,text (TF-IDF)
tfidf_gap,0.0031732136320424755,text (TF-IDF)
encoder_overtravel,0.003033240645219782,domain/engineered
tfidf_position,0.0030031664800436006,text (TF-IDF)
tfidf_overtravelled,0.0028433843991746872,text (TF-IDF)
tfidf_hot,0.0027995058083597054,text (TF-IDF)
tfidf_cb,0.0026110337233297702,text (TF-IDF)
tfidf_manual,0.0025855582693130167,text (TF-IDF)
tfidf_clamp feedback,0.002581808817605334,text (TF-IDF)
tfidf_od1,0.0024992262933848717,text (TF-IDF)
tfidf_cooling bed,0.002406747174301925,text (TF-IDF)
tfidf_saw gear,0.0024010670937066724,text (TF-IDF)
tfidf_entry,0.002264588256438142,text (TF-IDF)
tfidf_pallet area,0.0021940272746979396,text (TF-IDF)
tfidf_roller table,0.0021798228192869617,text (TF-IDF)
tfidf_metal rejected,0.002175036901808447,text (TF-IDF)
tfidf_feedback missisng,0.002156464726688913,text (TF-IDF)
tfidf_arm encoder,0.002143743488485861,text (TF-IDF)
tfidf_guide,0.0021396954642303335,text (TF-IDF)
tfidf_rt,0.0021359892832469385,text (TF-IDF)
tfidf_gap fce,0.002127469922988546,text (TF-IDF)
tfidf_bed,0.0020868451141045925,text (TF-IDF)
tfidf_discharging,0.002074902690791046,text (TF-IDF)
tfidf_luberication oil,0.0020561514069793686,text (TF-IDF)
tfidf_upper,0.002025582986646116,text (TF-IDF)
tfidf_strapping,0.0019433288202652895,text (TF-IDF)
tfidf_extraction trolley,0.001913340376801351,text (TF-IDF)
tfidf_box luberication,0.0019029409840186642,text (TF-IDF)
hmd_flicker,0.001890180313784224,domain/engineered
tfidf_missisng,0.0018649025275785886,text (TF-IDF)
tfidf_table,0.0018410810701357172,text (TF-IDF)
tfidf_stopped,0.0018384809642522965,text (TF-IDF)
tfidf_turner,0.0018253237655727363,text (TF-IDF)
tfidf_bar turner,0.0018207866044839837,text (TF-IDF)
tfidf_flow low,0.0018059112423671605,text (TF-IDF)
tfidf_rt tripped,0.0017799964021428117,text (TF-IDF)
tfidf_bundling,0.0017081207208022174,text (TF-IDF)
tfidf_close feedback,0.0016967780806063002,text (TF-IDF)
tfidf_200 200,0.0016849045321000436,text (TF-IDF)
tfidf_200,0.0016805130402718798,text (TF-IDF)
tfidf_change,0.0016341233013712464,text (TF-IDF)
tfidf_misalignment section,0.0015757706871853004,text (TF-IDF)
tfidf_misalignment,0.0015443335400595593,text (TF-IDF)
tfidf_measuring,0.001518538337888103,text (TF-IDF)
tfidf_open close,0.0014409116224159088,text (TF-IDF)
tfidf_upper clamp,0.0014127508427449998,text (TF-IDF)
tfidf_sequence,0.0013830066716496044,text (TF-IDF)
tfidf_encoder feedback,0.0013678054417453742,text (TF-IDF)
photocell_sequence_break,0.0013633991267447178,domain/engineered
tfidf_photocell fault,0.0012996622155209987,text (TF-IDF)
tfidf_flickering,0.0012241572794575945,text (TF-IDF)
hmd_continuous,0.0011770936398775107,domain/engineered
tfidf_close,0.0011744872462233658,text (TF-IDF)
tfidf_high,0.0011642524009138739,text (TF-IDF)
tfidf_overtravel,0.0011379908315009965,text (TF-IDF)
tfidf_disk,0.0010499260395676368,text (TF-IDF)
tfidf_alignment,0.0009518763091590029,text (TF-IDF)
tfidf_bed saw,0.0008850291799563064,text (TF-IDF)
tfidf_saw entry,0.000876170000560438,text (TF-IDF)
tfidf_compactor,0.0008360250417099349,text (TF-IDF)
tfidf_saw exit,0.0008324941524364858,text (TF-IDF)
tfidf_cobble bdm,0.0008278426093574221,text (TF-IDF)
tfidf_didn,0.0007905672303008279,text (TF-IDF)
tfidf_exit guide,0.0007689391557762105,text (TF-IDF)
tfidf_saw photocell,0.0006403014293242806,text (TF-IDF)
tfidf_entry open,0.0006232239593589829,text (TF-IDF)
tfidf_billet overtravelled,0.0005565268415759922,text (TF-IDF)
tfidf_auto sequence,0.000521042270624623,text (TF-IDF)
tfidf_sequence break,0.00044920914675513805,text (TF-IDF)
tfidf_cleaning bdm,0.00040999876564952166,text (TF-IDF)
encoder_fault,0.0003356881529164773,domain/engineered
tfidf_saw disk,0.0002789967191073137,text (TF-IDF)
tfidf_detection photocell,7.84116700719029e-05,text (TF-IDF)
